,names.arglist.
1,ins_or_del
2,pre
3,ins_or_del_seq
4,post
5,L
6,U_seq
7,U
8,U_seq_count_in_indel_seq
9,indel_str_count_in_ref
10,R
11,R_outside_ins_or_del_seq
12,mh
13,short_visual
14,long_visual
15,unit
16,unit_length
17,internal_rep
18,internal_reps
19,spacer
20,spacer_length
21,prime3_rep
22,prime3_reps
23,original_reps
24,COSMIC_83
