"MutationType","HepG2_Duo_100pM_2mth_cl3"
"[Del(C):R1]A",6
"[Del(C):R1]T",13
"[Del(C):R2]A",14
"[Del(C):R2]T",3
"[Del(C):R3]A",4
"[Del(C):R3]T",2
"[Del(C):R(4,5)]A",8
"[Del(C):R(4,5)]T",0
"[Del(C):R(1,5)]G",3
"Del(C):R(6,)",0
"A[Del(T):R(1,4)]A",61
"A[Del(T):R(1,4)]C",9
"A[Del(T):R(1,4)]G",3
"C[Del(T):R(1,4)]A",50
"C[Del(T):R(1,4)]C",20
"C[Del(T):R(1,4)]G",17
"G[Del(T):R(1,4)]A",16
"G[Del(T):R(1,4)]C",7
"G[Del(T):R(1,4)]G",6
"A[Del(T):R(5,7)]A",22
"A[Del(T):R(5,7)]C",9
"A[Del(T):R(5,7)]G",18
"C[Del(T):R(5,7)]A",33
"C[Del(T):R(5,7)]C",39
"C[Del(T):R(5,7)]G",22
"G[Del(T):R(5,7)]A",10
"G[Del(T):R(5,7)]C",9
"G[Del(T):R(5,7)]G",14
"A[Del(T):R(8,)]A",1
"A[Del(T):R(8,)]C",1
"A[Del(T):R(8,)]G",0
"C[Del(T):R(8,)]A",0
"C[Del(T):R(8,)]C",0
"C[Del(T):R(8,)]G",1
"G[Del(T):R(8,)]A",0
"G[Del(T):R(8,)]C",2
"G[Del(T):R(8,)]G",0
"A[Ins(C):R0]A",13
"A[Ins(C):R0]T",11
"Ins(C):R(0,3)",40
"Ins(C):R(4,6)",0
"Ins(C):R(7,)",0
"A[Ins(T):R(0,4)]A",410
"A[Ins(T):R(0,4)]C",54
"A[Ins(T):R(0,4)]G",23
"C[Ins(T):R(0,4)]A",26
"C[Ins(T):R(0,4)]C",11
"C[Ins(T):R(0,4)]G",7
"G[Ins(T):R(0,4)]A",91
"G[Ins(T):R(0,4)]C",7
"G[Ins(T):R(0,4)]G",12
"A[Ins(T):R(5,7)]A",2
"A[Ins(T):R(5,7)]C",0
"A[Ins(T):R(5,7)]G",2
"C[Ins(T):R(5,7)]A",0
"C[Ins(T):R(5,7)]C",1
"C[Ins(T):R(5,7)]G",0
"G[Ins(T):R(5,7)]A",0
"G[Ins(T):R(5,7)]C",0
"G[Ins(T):R(5,7)]G",2
"A[Ins(T):R(8,)]A",0
"A[Ins(T):R(8,)]C",0
"A[Ins(T):R(8,)]G",0
"C[Ins(T):R(8,)]A",0
"C[Ins(T):R(8,)]C",0
"C[Ins(T):R(8,)]G",0
"G[Ins(T):R(8,)]A",0
"G[Ins(T):R(8,)]C",0
"G[Ins(T):R(8,)]G",0
"Del(2,4):R1",14
"Del(5,):R1",1
"Del(2,8):U(1,2):R(2,4)",3
"Del(2,):U(1,2):R(5,)",4
"Del(3,):U(3,):R2",3
"Del(3,):U(3,):R(3,)",0
"Ins(2,4):R0",53
"Ins(5,):R0",21
"Ins(2,4):R1",4
"Ins(5,):R1",1
"Ins(2,):R(2,4)",6
"Ins(2,):R(5,)",3
"Del(2,5):M1",3
"Del(3,5):M2",1
"Del(4,5):M(3,4)",1
"Del(6,):M1",1
"Del(6,):M2",1
"Del(6,):M3",1
"Del(6,):M(4,)",1
"Complex",0
