"MutationType","HepG2_Duo_100pM_2mth_cl2"
"[Del(C):R1]A",7
"[Del(C):R1]T",18
"[Del(C):R2]A",20
"[Del(C):R2]T",3
"[Del(C):R3]A",4
"[Del(C):R3]T",7
"[Del(C):R(4,5)]A",8
"[Del(C):R(4,5)]T",1
"[Del(C):R(1,5)]G",8
"Del(C):R(6,)",0
"A[Del(T):R(1,4)]A",52
"A[Del(T):R(1,4)]C",14
"A[Del(T):R(1,4)]G",13
"C[Del(T):R(1,4)]A",55
"C[Del(T):R(1,4)]C",16
"C[Del(T):R(1,4)]G",16
"G[Del(T):R(1,4)]A",10
"G[Del(T):R(1,4)]C",4
"G[Del(T):R(1,4)]G",27
"A[Del(T):R(5,7)]A",24
"A[Del(T):R(5,7)]C",7
"A[Del(T):R(5,7)]G",18
"C[Del(T):R(5,7)]A",20
"C[Del(T):R(5,7)]C",24
"C[Del(T):R(5,7)]G",19
"G[Del(T):R(5,7)]A",9
"G[Del(T):R(5,7)]C",5
"G[Del(T):R(5,7)]G",11
"A[Del(T):R(8,)]A",1
"A[Del(T):R(8,)]C",0
"A[Del(T):R(8,)]G",0
"C[Del(T):R(8,)]A",0
"C[Del(T):R(8,)]C",0
"C[Del(T):R(8,)]G",3
"G[Del(T):R(8,)]A",0
"G[Del(T):R(8,)]C",1
"G[Del(T):R(8,)]G",0
"A[Ins(C):R0]A",25
"A[Ins(C):R0]T",4
"Ins(C):R(0,3)",87
"Ins(C):R(4,6)",1
"Ins(C):R(7,)",0
"A[Ins(T):R(0,4)]A",306
"A[Ins(T):R(0,4)]C",41
"A[Ins(T):R(0,4)]G",28
"C[Ins(T):R(0,4)]A",42
"C[Ins(T):R(0,4)]C",7
"C[Ins(T):R(0,4)]G",20
"G[Ins(T):R(0,4)]A",63
"G[Ins(T):R(0,4)]C",7
"G[Ins(T):R(0,4)]G",21
"A[Ins(T):R(5,7)]A",1
"A[Ins(T):R(5,7)]C",0
"A[Ins(T):R(5,7)]G",0
"C[Ins(T):R(5,7)]A",0
"C[Ins(T):R(5,7)]C",0
"C[Ins(T):R(5,7)]G",0
"G[Ins(T):R(5,7)]A",1
"G[Ins(T):R(5,7)]C",2
"G[Ins(T):R(5,7)]G",0
"A[Ins(T):R(8,)]A",0
"A[Ins(T):R(8,)]C",0
"A[Ins(T):R(8,)]G",0
"C[Ins(T):R(8,)]A",0
"C[Ins(T):R(8,)]C",0
"C[Ins(T):R(8,)]G",1
"G[Ins(T):R(8,)]A",0
"G[Ins(T):R(8,)]C",0
"G[Ins(T):R(8,)]G",0
"Del(2,4):R1",39
"Del(5,):R1",3
"Del(2,8):U(1,2):R(2,4)",14
"Del(2,):U(1,2):R(5,)",8
"Del(3,):U(3,):R2",8
"Del(3,):U(3,):R(3,)",6
"Ins(2,4):R0",52
"Ins(5,):R0",6
"Ins(2,4):R1",13
"Ins(5,):R1",0
"Ins(2,):R(2,4)",3
"Ins(2,):R(5,)",1
"Del(2,5):M1",8
"Del(3,5):M2",4
"Del(4,5):M(3,4)",1
"Del(6,):M1",2
"Del(6,):M2",2
"Del(6,):M3",1
"Del(6,):M(4,)",0
"Complex",0
