"MutationType","HepG2_Duo_250pM_2mth_cl3"
"A[Del(C):R1]A",4
"A[Del(C):R1]G",0
"A[Del(C):R1]T",5
"A[Del(C):R2]A",0
"A[Del(C):R2]G",0
"A[Del(C):R2]T",1
"A[Del(C):R3]A",1
"A[Del(C):R3]G",0
"A[Del(C):R3]T",0
"A[Del(C):R4]A",0
"A[Del(C):R4]G",0
"A[Del(C):R4]T",0
"A[Del(C):R5]A",0
"A[Del(C):R5]G",0
"A[Del(C):R5]T",0
"A[Del(C):R6]A",0
"A[Del(C):R6]G",0
"A[Del(C):R6]T",0
"A[Del(C):R7]A",0
"A[Del(C):R7]G",0
"A[Del(C):R7]T",0
"A[Del(C):R8]A",0
"A[Del(C):R8]G",0
"A[Del(C):R8]T",0
"A[Del(C):R(9,)]A",0
"A[Del(C):R(9,)]G",0
"A[Del(C):R(9,)]T",0
"G[Del(C):R1]A",0
"G[Del(C):R1]G",0
"G[Del(C):R1]T",1
"G[Del(C):R2]A",0
"G[Del(C):R2]G",0
"G[Del(C):R2]T",0
"G[Del(C):R3]A",0
"G[Del(C):R3]G",0
"G[Del(C):R3]T",0
"G[Del(C):R4]A",0
"G[Del(C):R4]G",0
"G[Del(C):R4]T",0
"G[Del(C):R5]A",0
"G[Del(C):R5]G",0
"G[Del(C):R5]T",0
"G[Del(C):R6]A",0
"G[Del(C):R6]G",0
"G[Del(C):R6]T",0
"G[Del(C):R7]A",0
"G[Del(C):R7]G",0
"G[Del(C):R7]T",0
"G[Del(C):R8]A",0
"G[Del(C):R8]G",0
"G[Del(C):R8]T",0
"G[Del(C):R(9,)]A",0
"G[Del(C):R(9,)]G",0
"G[Del(C):R(9,)]T",0
"T[Del(C):R1]A",3
"T[Del(C):R1]G",0
"T[Del(C):R1]T",6
"T[Del(C):R2]A",1
"T[Del(C):R2]G",0
"T[Del(C):R2]T",2
"T[Del(C):R3]A",0
"T[Del(C):R3]G",0
"T[Del(C):R3]T",1
"T[Del(C):R4]A",1
"T[Del(C):R4]G",0
"T[Del(C):R4]T",0
"T[Del(C):R5]A",0
"T[Del(C):R5]G",0
"T[Del(C):R5]T",0
"T[Del(C):R6]A",1
"T[Del(C):R6]G",0
"T[Del(C):R6]T",0
"T[Del(C):R7]A",0
"T[Del(C):R7]G",0
"T[Del(C):R7]T",0
"T[Del(C):R8]A",0
"T[Del(C):R8]G",0
"T[Del(C):R8]T",0
"T[Del(C):R(9,)]A",0
"T[Del(C):R(9,)]G",0
"T[Del(C):R(9,)]T",0
"A[Del(T):R1]A",59
"A[Del(T):R1]C",0
"A[Del(T):R1]G",0
"A[Del(T):R2]A",35
"A[Del(T):R2]C",1
"A[Del(T):R2]G",0
"A[Del(T):R3]A",24
"A[Del(T):R3]C",3
"A[Del(T):R3]G",1
"A[Del(T):R4]A",11
"A[Del(T):R4]C",7
"A[Del(T):R4]G",8
"A[Del(T):R5]A",22
"A[Del(T):R5]C",10
"A[Del(T):R5]G",7
"A[Del(T):R6]A",6
"A[Del(T):R6]C",2
"A[Del(T):R6]G",7
"A[Del(T):R7]A",1
"A[Del(T):R7]C",2
"A[Del(T):R7]G",2
"A[Del(T):R8]A",3
"A[Del(T):R8]C",0
"A[Del(T):R8]G",2
"A[Del(T):R(9,)]A",0
"A[Del(T):R(9,)]C",0
"A[Del(T):R(9,)]G",0
"C[Del(T):R1]A",21
"C[Del(T):R1]C",0
"C[Del(T):R1]G",0
"C[Del(T):R2]A",35
"C[Del(T):R2]C",0
"C[Del(T):R2]G",0
"C[Del(T):R3]A",24
"C[Del(T):R3]C",8
"C[Del(T):R3]G",1
"C[Del(T):R4]A",16
"C[Del(T):R4]C",22
"C[Del(T):R4]G",19
"C[Del(T):R5]A",20
"C[Del(T):R5]C",15
"C[Del(T):R5]G",6
"C[Del(T):R6]A",42
"C[Del(T):R6]C",24
"C[Del(T):R6]G",25
"C[Del(T):R7]A",5
"C[Del(T):R7]C",8
"C[Del(T):R7]G",7
"C[Del(T):R8]A",0
"C[Del(T):R8]C",6
"C[Del(T):R8]G",2
"C[Del(T):R(9,)]A",0
"C[Del(T):R(9,)]C",0
"C[Del(T):R(9,)]G",0
"G[Del(T):R1]A",13
"G[Del(T):R1]C",1
"G[Del(T):R1]G",1
"G[Del(T):R2]A",17
"G[Del(T):R2]C",0
"G[Del(T):R2]G",0
"G[Del(T):R3]A",20
"G[Del(T):R3]C",3
"G[Del(T):R3]G",0
"G[Del(T):R4]A",13
"G[Del(T):R4]C",8
"G[Del(T):R4]G",12
"G[Del(T):R5]A",8
"G[Del(T):R5]C",7
"G[Del(T):R5]G",12
"G[Del(T):R6]A",8
"G[Del(T):R6]C",14
"G[Del(T):R6]G",15
"G[Del(T):R7]A",2
"G[Del(T):R7]C",4
"G[Del(T):R7]G",3
"G[Del(T):R8]A",1
"G[Del(T):R8]C",2
"G[Del(T):R8]G",1
"G[Del(T):R(9,)]A",0
"G[Del(T):R(9,)]C",0
"G[Del(T):R(9,)]G",0
"A[Ins(C):R0]A",17
"A[Ins(C):R0]G",2
"A[Ins(C):R0]T",12
"A[Ins(C):R1]A",1
"A[Ins(C):R1]G",0
"A[Ins(C):R1]T",2
"A[Ins(C):R2]A",2
"A[Ins(C):R2]G",0
"A[Ins(C):R2]T",0
"A[Ins(C):R3]A",0
"A[Ins(C):R3]G",0
"A[Ins(C):R3]T",0
"A[Ins(C):R4]A",0
"A[Ins(C):R4]G",0
"A[Ins(C):R4]T",0
"A[Ins(C):R5]A",0
"A[Ins(C):R5]G",0
"A[Ins(C):R5]T",0
"A[Ins(C):R6]A",0
"A[Ins(C):R6]G",0
"A[Ins(C):R6]T",0
"A[Ins(C):R7]A",0
"A[Ins(C):R7]G",0
"A[Ins(C):R7]T",0
