Type,Subtype,Indel_size,Repeat_MH_size,HepG2_Duo_100pM_2mth_cl3
DEL,C,1,0,21
DEL,C,1,1,17
DEL,C,1,2,6
DEL,C,1,3,5
DEL,C,1,4,4
DEL,C,1,5+,0
DEL,T,1,0,59
DEL,T,1,1,30
DEL,T,1,2,32
DEL,T,1,3,68
DEL,T,1,4,41
DEL,T,1,5+,140
INS,C,1,0,47
INS,C,1,1,7
INS,C,1,2,8
INS,C,1,3,2
INS,C,1,4,0
INS,C,1,5+,0
INS,T,1,0,254
INS,T,1,1,31
INS,T,1,2,303
INS,T,1,3,48
INS,T,1,4,5
INS,T,1,5+,7
DEL,repeats,2,0,11
DEL,repeats,2,1,1
DEL,repeats,2,2,0
DEL,repeats,2,3,0
DEL,repeats,2,4,0
DEL,repeats,2,5+,1
DEL,repeats,3,0,2
DEL,repeats,3,1,1
DEL,repeats,3,2,0
DEL,repeats,3,3,0
DEL,repeats,3,4,0
DEL,repeats,3,5+,0
DEL,repeats,4,0,1
DEL,repeats,4,1,2
DEL,repeats,4,2,0
DEL,repeats,4,3,0
DEL,repeats,4,4,0
DEL,repeats,4,5+,0
DEL,repeats,5+,0,1
DEL,repeats,5+,1,1
DEL,repeats,5+,2,0
DEL,repeats,5+,3,0
DEL,repeats,5+,4,0
DEL,repeats,5+,5+,0
INS,repeats,2,0,32
INS,repeats,2,1,3
INS,repeats,2,2,2
INS,repeats,2,3,0
INS,repeats,2,4,1
INS,repeats,2,5+,1
INS,repeats,3,0,11
INS,repeats,3,1,1
INS,repeats,3,2,1
INS,repeats,3,3,0
INS,repeats,3,4,0
INS,repeats,3,5+,0
INS,repeats,4,0,10
INS,repeats,4,1,2
INS,repeats,4,2,0
INS,repeats,4,3,0
INS,repeats,4,4,0
INS,repeats,4,5+,0
INS,repeats,5+,0,20
INS,repeats,5+,1,3
INS,repeats,5+,2,0
INS,repeats,5+,3,1
INS,repeats,5+,4,0
INS,repeats,5+,5+,0
DEL,MH,2,1,1
DEL,MH,3,1,4
DEL,MH,3,2,2
DEL,MH,4,1,0
DEL,MH,4,2,1
DEL,MH,4,3,0
DEL,MH,5+,1,1
DEL,MH,5+,2,1
DEL,MH,5+,3,2
DEL,MH,5+,4,0
DEL,MH,5+,5+,1
