Type,Subtype,Indel_size,Repeat_MH_size,HepG2_Duo_250pM_2mth_cl3
DEL,C,1,0,19
DEL,C,1,1,4
DEL,C,1,2,2
DEL,C,1,3,1
DEL,C,1,4,0
DEL,C,1,5+,1
DEL,T,1,0,95
DEL,T,1,1,88
DEL,T,1,2,84
DEL,T,1,3,116
DEL,T,1,4,107
DEL,T,1,5+,194
INS,C,1,0,69
INS,C,1,1,8
INS,C,1,2,4
INS,C,1,3,0
INS,C,1,4,0
INS,C,1,5+,0
INS,T,1,0,505
INS,T,1,1,47
INS,T,1,2,659
INS,T,1,3,95
INS,T,1,4,6
INS,T,1,5+,9
DEL,repeats,2,0,3
DEL,repeats,2,1,6
DEL,repeats,2,2,2
DEL,repeats,2,3,2
DEL,repeats,2,4,1
DEL,repeats,2,5+,1
DEL,repeats,3,0,0
DEL,repeats,3,1,1
DEL,repeats,3,2,0
DEL,repeats,3,3,0
DEL,repeats,3,4,0
DEL,repeats,3,5+,0
DEL,repeats,4,0,2
DEL,repeats,4,1,5
DEL,repeats,4,2,1
DEL,repeats,4,3,0
DEL,repeats,4,4,0
DEL,repeats,4,5+,0
DEL,repeats,5+,0,2
DEL,repeats,5+,1,0
DEL,repeats,5+,2,1
DEL,repeats,5+,3,0
DEL,repeats,5+,4,0
DEL,repeats,5+,5+,0
INS,repeats,2,0,46
INS,repeats,2,1,5
INS,repeats,2,2,0
INS,repeats,2,3,0
INS,repeats,2,4,0
INS,repeats,2,5+,0
INS,repeats,3,0,7
INS,repeats,3,1,0
INS,repeats,3,2,0
INS,repeats,3,3,0
INS,repeats,3,4,0
INS,repeats,3,5+,0
INS,repeats,4,0,21
INS,repeats,4,1,1
INS,repeats,4,2,0
INS,repeats,4,3,0
INS,repeats,4,4,1
INS,repeats,4,5+,0
INS,repeats,5+,0,26
INS,repeats,5+,1,2
INS,repeats,5+,2,1
INS,repeats,5+,3,0
INS,repeats,5+,4,0
INS,repeats,5+,5+,0
DEL,MH,2,1,3
DEL,MH,3,1,3
DEL,MH,3,2,3
DEL,MH,4,1,0
DEL,MH,4,2,0
DEL,MH,4,3,2
DEL,MH,5+,1,3
DEL,MH,5+,2,3
DEL,MH,5+,3,3
DEL,MH,5+,4,0
DEL,MH,5+,5+,0
