Type,Subtype,Indel_size,Repeat_MH_size,HepG2_Duo_100pM_2mth_cl2
DEL,C,1,0,28
DEL,C,1,1,25
DEL,C,1,2,11
DEL,C,1,3,9
DEL,C,1,4,3
DEL,C,1,5+,0
DEL,T,1,0,66
DEL,T,1,1,44
DEL,T,1,2,30
DEL,T,1,3,67
DEL,T,1,4,36
DEL,T,1,5+,106
INS,C,1,0,66
INS,C,1,1,16
INS,C,1,2,29
INS,C,1,3,5
INS,C,1,4,1
INS,C,1,5+,0
INS,T,1,0,250
INS,T,1,1,36
INS,T,1,2,203
INS,T,1,3,35
INS,T,1,4,11
INS,T,1,5+,5
DEL,repeats,2,0,26
DEL,repeats,2,1,8
DEL,repeats,2,2,2
DEL,repeats,2,3,1
DEL,repeats,2,4,0
DEL,repeats,2,5+,2
DEL,repeats,3,0,4
DEL,repeats,3,1,5
DEL,repeats,3,2,3
DEL,repeats,3,3,0
DEL,repeats,3,4,0
DEL,repeats,3,5+,0
DEL,repeats,4,0,9
DEL,repeats,4,1,3
DEL,repeats,4,2,3
DEL,repeats,4,3,0
DEL,repeats,4,4,0
DEL,repeats,4,5+,0
DEL,repeats,5+,0,3
DEL,repeats,5+,1,1
DEL,repeats,5+,2,1
DEL,repeats,5+,3,0
DEL,repeats,5+,4,0
DEL,repeats,5+,5+,0
INS,repeats,2,0,39
INS,repeats,2,1,5
INS,repeats,2,2,1
INS,repeats,2,3,0
INS,repeats,2,4,0
INS,repeats,2,5+,0
INS,repeats,3,0,10
INS,repeats,3,1,3
INS,repeats,3,2,1
INS,repeats,3,3,0
INS,repeats,3,4,0
INS,repeats,3,5+,0
INS,repeats,4,0,9
INS,repeats,4,1,1
INS,repeats,4,2,0
INS,repeats,4,3,0
INS,repeats,4,4,0
INS,repeats,4,5+,0
INS,repeats,5+,0,6
INS,repeats,5+,1,0
INS,repeats,5+,2,0
INS,repeats,5+,3,0
INS,repeats,5+,4,0
INS,repeats,5+,5+,0
DEL,MH,2,1,7
DEL,MH,3,1,5
DEL,MH,3,2,1
DEL,MH,4,1,3
DEL,MH,4,2,2
DEL,MH,4,3,2
DEL,MH,5+,1,2
DEL,MH,5+,2,2
DEL,MH,5+,3,1
DEL,MH,5+,4,0
DEL,MH,5+,5+,0
