"MutationType","HepG2_Duo_250pM_2mth_cl2"
"[Del(C):R1]A",4
"[Del(C):R1]T",10
"[Del(C):R2]A",1
"[Del(C):R2]T",3
"[Del(C):R3]A",1
"[Del(C):R3]T",4
"[Del(C):R(4,5)]A",0
"[Del(C):R(4,5)]T",1
"[Del(C):R(1,5)]G",3
"Del(C):R(6,)",0
"A[Del(T):R(1,4)]A",95
"A[Del(T):R(1,4)]C",7
"A[Del(T):R(1,4)]G",6
"C[Del(T):R(1,4)]A",91
"C[Del(T):R(1,4)]C",27
"C[Del(T):R(1,4)]G",10
"G[Del(T):R(1,4)]A",48
"G[Del(T):R(1,4)]C",7
"G[Del(T):R(1,4)]G",10
"A[Del(T):R(5,7)]A",21
"A[Del(T):R(5,7)]C",14
"A[Del(T):R(5,7)]G",19
"C[Del(T):R(5,7)]A",26
"C[Del(T):R(5,7)]C",36
"C[Del(T):R(5,7)]G",24
"G[Del(T):R(5,7)]A",18
"G[Del(T):R(5,7)]C",19
"G[Del(T):R(5,7)]G",17
"A[Del(T):R(8,)]A",3
"A[Del(T):R(8,)]C",3
"A[Del(T):R(8,)]G",1
"C[Del(T):R(8,)]A",3
"C[Del(T):R(8,)]C",3
"C[Del(T):R(8,)]G",1
"G[Del(T):R(8,)]A",2
"G[Del(T):R(8,)]C",1
"G[Del(T):R(8,)]G",0
"A[Ins(C):R0]A",16
"A[Ins(C):R0]T",6
"Ins(C):R(0,3)",35
"Ins(C):R(4,6)",0
"Ins(C):R(7,)",0
"A[Ins(T):R(0,4)]A",586
"A[Ins(T):R(0,4)]C",102
"A[Ins(T):R(0,4)]G",30
"C[Ins(T):R(0,4)]A",34
"C[Ins(T):R(0,4)]C",10
"C[Ins(T):R(0,4)]G",4
"G[Ins(T):R(0,4)]A",171
"G[Ins(T):R(0,4)]C",19
"G[Ins(T):R(0,4)]G",2
"A[Ins(T):R(5,7)]A",1
"A[Ins(T):R(5,7)]C",2
"A[Ins(T):R(5,7)]G",1
"C[Ins(T):R(5,7)]A",0
"C[Ins(T):R(5,7)]C",0
"C[Ins(T):R(5,7)]G",0
"G[Ins(T):R(5,7)]A",0
"G[Ins(T):R(5,7)]C",0
"G[Ins(T):R(5,7)]G",0
"A[Ins(T):R(8,)]A",1
"A[Ins(T):R(8,)]C",0
"A[Ins(T):R(8,)]G",0
"C[Ins(T):R(8,)]A",0
"C[Ins(T):R(8,)]C",0
"C[Ins(T):R(8,)]G",0
"G[Ins(T):R(8,)]A",0
"G[Ins(T):R(8,)]C",0
"G[Ins(T):R(8,)]G",0
"Del(2,4):R1",4
"Del(5,):R1",4
"Del(2,8):U(1,2):R(2,4)",3
"Del(2,):U(1,2):R(5,)",6
"Del(3,):U(3,):R2",7
"Del(3,):U(3,):R(3,)",3
"Ins(2,4):R0",55
"Ins(5,):R0",17
"Ins(2,4):R1",2
"Ins(5,):R1",2
"Ins(2,):R(2,4)",7
"Ins(2,):R(5,)",1
"Del(2,5):M1",2
"Del(3,5):M2",1
"Del(4,5):M(3,4)",0
"Del(6,):M1",0
"Del(6,):M2",2
"Del(6,):M3",1
"Del(6,):M(4,)",0
"Complex",0
