"MutationType","HepG2_Duo_100pM_2mth_cl3"
"A[Del(C):R1]A",3
"A[Del(C):R1]G",0
"A[Del(C):R1]T",4
"A[Del(C):R2]A",12
"A[Del(C):R2]G",0
"A[Del(C):R2]T",0
"A[Del(C):R3]A",1
"A[Del(C):R3]G",0
"A[Del(C):R3]T",0
"A[Del(C):R4]A",1
"A[Del(C):R4]G",0
"A[Del(C):R4]T",0
"A[Del(C):R5]A",1
"A[Del(C):R5]G",1
"A[Del(C):R5]T",0
"A[Del(C):R6]A",0
"A[Del(C):R6]G",0
"A[Del(C):R6]T",0
"A[Del(C):R7]A",0
"A[Del(C):R7]G",0
"A[Del(C):R7]T",0
"A[Del(C):R8]A",0
"A[Del(C):R8]G",0
"A[Del(C):R8]T",0
"A[Del(C):R(9,)]A",0
"A[Del(C):R(9,)]G",0
"A[Del(C):R(9,)]T",0
"G[Del(C):R1]A",1
"G[Del(C):R1]G",0
"G[Del(C):R1]T",2
"G[Del(C):R2]A",1
"G[Del(C):R2]G",0
"G[Del(C):R2]T",0
"G[Del(C):R3]A",0
"G[Del(C):R3]G",0
"G[Del(C):R3]T",0
"G[Del(C):R4]A",0
"G[Del(C):R4]G",0
"G[Del(C):R4]T",0
"G[Del(C):R5]A",1
"G[Del(C):R5]G",0
"G[Del(C):R5]T",0
"G[Del(C):R6]A",0
"G[Del(C):R6]G",0
"G[Del(C):R6]T",0
"G[Del(C):R7]A",0
"G[Del(C):R7]G",0
"G[Del(C):R7]T",0
"G[Del(C):R8]A",0
"G[Del(C):R8]G",0
"G[Del(C):R8]T",0
"G[Del(C):R(9,)]A",0
"G[Del(C):R(9,)]G",0
"G[Del(C):R(9,)]T",0
"T[Del(C):R1]A",2
"T[Del(C):R1]G",2
"T[Del(C):R1]T",7
"T[Del(C):R2]A",1
"T[Del(C):R2]G",0
"T[Del(C):R2]T",3
"T[Del(C):R3]A",3
"T[Del(C):R3]G",0
"T[Del(C):R3]T",2
"T[Del(C):R4]A",4
"T[Del(C):R4]G",0
"T[Del(C):R4]T",0
"T[Del(C):R5]A",1
"T[Del(C):R5]G",0
"T[Del(C):R5]T",0
"T[Del(C):R6]A",0
"T[Del(C):R6]G",0
"T[Del(C):R6]T",0
"T[Del(C):R7]A",0
"T[Del(C):R7]G",0
"T[Del(C):R7]T",0
"T[Del(C):R8]A",0
"T[Del(C):R8]G",0
"T[Del(C):R8]T",0
"T[Del(C):R(9,)]A",0
"T[Del(C):R(9,)]G",0
"T[Del(C):R(9,)]T",0
"A[Del(T):R1]A",24
"A[Del(T):R1]C",5
"A[Del(T):R1]G",0
"A[Del(T):R2]A",11
"A[Del(T):R2]C",0
"A[Del(T):R2]G",0
"A[Del(T):R3]A",17
"A[Del(T):R3]C",3
"A[Del(T):R3]G",0
"A[Del(T):R4]A",9
"A[Del(T):R4]C",1
"A[Del(T):R4]G",3
"A[Del(T):R5]A",6
"A[Del(T):R5]C",3
"A[Del(T):R5]G",5
"A[Del(T):R6]A",15
"A[Del(T):R6]C",2
"A[Del(T):R6]G",8
"A[Del(T):R7]A",1
"A[Del(T):R7]C",4
"A[Del(T):R7]G",5
"A[Del(T):R8]A",1
"A[Del(T):R8]C",1
"A[Del(T):R8]G",0
"A[Del(T):R(9,)]A",0
"A[Del(T):R(9,)]C",0
"A[Del(T):R(9,)]G",0
"C[Del(T):R1]A",20
"C[Del(T):R1]C",1
"C[Del(T):R1]G",0
"C[Del(T):R2]A",13
"C[Del(T):R2]C",1
"C[Del(T):R2]G",0
"C[Del(T):R3]A",9
